items.id,items.label,items.authors,items.journal,items.country,items.year,items.date,items.month,items.url
10555,Contributions of Collective excitations to the surface energy of metals,R.G. Barrera y E. Gerlach,Solid State Communications,Estados Unidos de América,1974,1974,1974,NA
10559,On the Van der Waals energy of two half-spaces at small separations,R.G. Barrera y E. Gerlach,Chemical Physics Letters ,Estados Unidos de América,1974,1974,1974,NA
10562,EFFICIENCY OF **8Be DETECTION USING POSITION SENSITIVE DETECTORS,A. Menchaca-Rocha. IEEE,IEEE Transactions on Nuclear Science,Estados Unidos de América,1975,1975,1975,", , http://www.scopus.com/scopus/inward/record.url?eid=2-s2.0-0016542388&partnerID=40, 0"
10561,Construcción  de  un detector proporcional sensible a la posición,"J. Gomez del Campo, M.E. Ortiz, A. Dacal y M. Kopp",Revista Mexicana de Física,México,1975,1975,1975,NA
10563,A test of p-4He phase shifts between 2 and 9 MeV,"Brandan M.E., Plattner G.R., Haeberli W.",Nuclear Physics A,Estados Unidos de América,1976,1976,1976,NA
10568,"Study of the Coherence widths in 28Si, measured by the 12C(16O,<U+F061>) reaction","J. Gomez del Campo, M.E. Ortiz, A. Dacal, J.L.C.  Ford,  R.L.     Robinson, P.H. Stelson and S.T. Thorton","Nuclear Instruments & Methods in Physics Research Section A: Accelerators, Spectrometers, Detectors and Associated Equipment",Holanda,1976,1976,1976,
10567,Similarity of cross sections for peripheral collisions at 20 MeV/A and 2.1 GeV/A,"M. Buenerd, C.K. Gelbke, B.G. Harvey, D.L. Hendrie, J. Mahoney, A. Menchaca- Rocha, C. Olmer and D.K. Scott",Physical Review Letters,Estados Unidos de América,1976,1976,1976,", , http://www.scopus.com/scopus/inward/record.url?eid=2-s2.0-22244432791&partnerID=40, 5"
10566,Response of pilot U scintillator to heavy ions,"M. Buenerd, D.L. Hendrie, U. Jahnke, J. Mahoney, A. Menchaca-Rocha, C. Olmer and D.K. Scott","Nuclear Instruments & Methods in Physics Research Section A: Accelerators, Spectrometers, Detectors and Associated Equipment",Holanda,1976,1976,1976,", , http://www.scopus.com/scopus/inward/record.url?eid=2-s2.0-0016973656&partnerID=40, 7"
10564,Dielectric continuum theory of the electronic structure of interfaces,R.G. Barrera y C.B. Duke,Physical Review B,Estados Unidos de América,1976,1976,1976,", , http://www.scopus.com/scopus/inward/record.url?eid=2-s2.0-0000588833&partnerID=40, 12"
10565,Dielectric continuum theory of the Van der Waals interaction,R.G. Barrera y C.B. Duke,Physical Review B,Estados Unidos de América,1976,1976,1976,NA
10570,"Tensor analyzing powers in 64Zn(d, t)63Zn and 64Zn(d, 3He)63Cu at Ed = 13 MeV","Brandan M.E., Haeberli W.",Nuclear Physics A,Estados Unidos de América,1977,1977,1977,NA
10572,"Vector analyzing power and cross section for (d, t) and (d, 3He) reactions on 64Zn at Ed = 13 MeV","Brandan M.E., Haeberli W.",Nuclear Physics A,Estados Unidos de América,1977,1977,1977,NA
10569,"Energy dependence of the reaction Pb208(O16, N15)Bi209","C. Olmer, M.C. Mermaz, M. Buenerd, C.K. Gelbke, D.L. Hendrie, J. Mahoney, A. Menchaca-Rocha, D.K. Scott. M.H. Macfarlane and S.C. Pieper",Physical Review Letters,Estados Unidos de América,1977,1977,1977,", , http://www.scopus.com/scopus/inward/record.url?eid=2-s2.0-34547663561&partnerID=40, 1"
10573,"Yrast Levels in 27Al suggested by Resonance Structure in the 12C(15N,<U+F061>) Reaction","J. Gomez del Campo, J.L.C. Ford, R.L. Robinson,  M.E. Ortiz, A. Dacal and E. Andrade",Physics Letters A,Estados Unidos de América,1977,1977,1977,NA
10571,The Mass Spectra of 17-13C-Phyllocladene and 3-13C-Methylene Cholestone III,"R.A. Cruz, R.C. Castillo, F.J. García and R.I. Reed",Organic Mass Spectrometry,Estados Unidos de América,1977,1977,1977,"<Go to ISI>://A1977CW16800005, 3, , "
10576,Effects of refraction of p-polarized light on angle resolved photoemission from surface states on metals.,"A. Bagchi, N. Kar y R.G. Barrera",American Journal of Physics,Estados Unidos de América,1978,1978,1978,NA
10578,Surface Roughness Effects on the Energy Dispersion of Backscattered Protons,"BARRAGAN A, SANTIBANEZ FG",Radiation Effects and Defects in Solids,Estados Unidos de América,1978,1978,1978,"ISI:A1978GC47600010, 11, , "
10575,"Coherence widths in 27Al measured with 12C(15N,<U+F061>) Reaction","J. Gomez del Campo, J.L.C. Ford, R.L. Robinson, M.E. Ortiz, A. Dacal and E. Andrade",Nuclear Physics A,Estados Unidos de América,1978,1978,1978,NA
10579,Systematic study of coulomb absorption in heavy ion scattering,"P. Doll, M. Bini, D.L. Hendrie, S.K. Kauffmann, J. Mahoney, A. Menchaca-Rocha, D.K. Scott, T.J.M. Symons, K. van Bibber, Y.P. Viyogi and H. Wieman",Physical Review Letters,Estados Unidos de América,1978,1978,1978,", , http://www.scopus.com/scopus/inward/record.url?eid=2-s2.0-49349127203&partnerID=40, 0"
10577,Self-consistent long range order in a deformable jellium model,"R.G. Barrera, M. de Llano, S. Peltier y A. Plastino",Physical Review B,Estados Unidos de América,1978,1978,1978,NA
10574,A point charge in a three-dielectric-medium with planar interfaces.,"R.G. Barrera, O. Guzmán y B. Balaguer",American Journal of Physics,Estados Unidos de América,1978,1978,1978,NA
10580,A perturbative approach to the calculation of electric fields near a metalsurface.,"A. Bagchi, R.G. Barrera y A.K. Rajagopal",Physical Review B,Estados Unidos de América,1979,1979,1979,NA
10583,Energy Dependence of Multinucleon Transfer Reactions  Induced  by   20Ne on 12C,"M.E. Ortiz, A. Dacal, A. Menchaca  Rocha,  M.  Buenerd,  D.L.    Hendrie, J. Mahoney, C. OLmer and D.K. Scott",Physics Letters B,Estados Unidos de América,1979,1979,1979,NA
10585,Giant-resonance studies with high-energy heavy ions,"P. Doll, D.L. Hendrie, J. Mahoney, A. Menchaca-Rocha D.K. Scott, T.J.M. Symons, K. van Bibber, Y.P. Viyogi, and H. Wieman",Physical Review Letters,Estados Unidos de América,1979,1979,1979,", , http://www.scopus.com/scopus/inward/record.url?eid=2-s2.0-24244436991&partnerID=40, 2"
10587,Long-range order HF states in the deformable jellium model,"R.G. Barrera, M. Grether, M. de Llano",Journal of Physical Chemistry C,Estados Unidos de América,1979,1979,1979,NA
10586,Long-range Hartree-Fock states with different magnetic properties,"R.G. Barrera, M. Grether, M.de Llano, S.Peltier y A. Plastino",Journal of Physics A: Mathematical and Theoretical,Reino Unido,1979,1979,1979,NA
10582,Conductivity of a semi-infinite electron gas: efective optical'' surface region,R.G. Barrera y A. Bagchi,Physical Review B,Estados Unidos de América,1979,1979,1979,NA
10584,Energy dependence of the fusion and elastic scattering of O16+Ca40,"S.E. Vigdor, D.G. Kovar, P. Sperr, J. Mahoney, A. Menchaca-Rocha, C. Olmer, and M. Zisman",Physical Review C,Estados Unidos de América,1979,1979,1979,", , http://www.scopus.com/scopus/inward/record.url?eid=2-s2.0-0040212133&partnerID=40, 6"
10581,Abnormal boson occupation in alpha matter,"V.C. Aguilera-Navarro, R.G. Barrera, J.W. Clark y M. de Llano",Physics Letters B,Estados Unidos de América,1979,1979,1979,NA
10589,Classical local-field effect on an adsorbed overlayer,"A. Bagchi, R.G. Barrera y B.B. Dasgupta",Physical Review Letters,Estados Unidos de América,1980,1980,1980,NA
10588,A detector for the indirect measurement of LET distributions from irradiation with fast neutrons,"Brandan M.E., DeLuca Jr. P.M.",Radiation Research,Estados Unidos de América,1980,1980,1980,NA
10591,"Nonstatistical effects in the 12C(15N,<U+F061>) Reaction","M.E. Ortiz, E. Andrade, M. Cardenas, A. Dacal,  A. Menchaca Rocha, J.L.C. Ford, J. Gomez del  Campo, R.L. Robinson, D. Shapira and E. Aguilera",Physical Review C,Estados Unidos de América,1980,1980,1980,NA
10590,Molecular Orbital Theory Prediction of Primary Fragmentation Sites in Tetracyclic Diterpenoids,"R. Castillo, M. Rubio, F. Garcia-Jimenez",Revista Latinoamericana de Química,Estados Unidos de América,1980,1980,1980,NA
10600,Unification for the angular distributions observed in O16-induced reactions,A. Menchaca-Rocha and  M.E. Brandan,Physical Review C,Estados Unidos de América,1981,1981,1981,", , http://www.scopus.com/scopus/inward/record.url?eid=2-s2.0-35949022973&partnerID=40, 0"
10593,Deflectores Magnéticos para los Nuevos Laboratorios del Instituto de Física,Barragan-Vidal A,Instrumentación y Desarrollo,Estados Unidos de América,1981,1981,1981,NA
10592,C12 + C12 reaction cross section between 70 and 290 MeV obtained from elastic Scattering,"Cole A.J., Rae W.D.M., Brandan M.E., Dacal A., Harvey B.G., Legrain R., Murphy M.J., Stokstad R.G.",Physical Review Letters,Estados Unidos de América,1981,1981,1981,NA
10599,"Total reaction cross section for O16-C12 at Ec.m=60, 93, and 135 MeV",M.E. Brandan and A. Menchaca-Rocha,Physical Review C,Estados Unidos de América,1981,1981,1981,", , http://www.scopus.com/scopus/inward/record.url?eid=2-s2.0-0001742660&partnerID=40, 7"
10595,"Fusion, Direct and Total Reaction Cross Sections of the 10B + 14N system up to E(14 N) = 180 MeV",M.E. Ortiz,Notas de Física,Estados Unidos de América,1981,1981,1981,NA
