"cliente_nomenclatura","campaña_nomenclatura","llave_ventas","llave_unica_mp","versión","tipo_presupuesto","tipo_2","comentario","Año-Mes","mes_plan","campaña_nomenclatura","plataforma","fecha_inicio_plan","fecha_fin_plan","inicio_campaña","fin_campaña","costo_planeado","kpi_planeado","serving","inversión_plataforma","inversión_total","inversión_AdOps","Operativo_AdOps","Serving_AdOps","costo_operativo","semana","inicio_reporte","fin_reporte","inicio_campaña_reporte","fin_campaña_reporte","divisa","dinero_gastado","impresiones","clics","conversiones","revenue","llave_analytics","conversiones_directas","conversiones_asistidas","revenue_directo","revenue_asistido","total_conversiones","total_revenue","ultima_actualizacion"
"acer","intelgaming","2003_acer_intelgaming_pi_mkt_fb","2003_acer_intelgaming_pi_mkt_fb_V9","V9","pi","mkt","información correcta, que tenemos en el mp y en las plataformas",2003,"Marzo","intelgaming","Facebook","2020-03-11 0:00:00","2020-03-31 0:00:00","2020-03-13 0:00:00","2020-03-31 0:00:00",0,0,0,0,0,0,0,0,0,"semana_11","2020-03-17 0:00:00","2020-03-24 0:00:00","2020-03-17 0:00:00","2020-03-24 0:00:00","MXN",12316,1611116,8739,0,0,"2003_acer_intelgaming_pi_mkt_fb_2020-03-17",0,0,0,0,0,0,"2020-04-30 10:32:07"
"acer","intelgaming","2003_acer_intelgaming_pi_mkt_fb","2003_acer_intelgaming_pi_mkt_fb_V9","V9","pi","mkt","información correcta, que tenemos en el mp y en las plataformas",2003,"Marzo","intelgaming","Facebook","2020-03-11 0:00:00","2020-03-31 0:00:00","2020-03-13 0:00:00","2020-03-31 0:00:00",0,0,0,0,0,0,0,0,0,"semana_12","2020-03-25 0:00:00","2020-03-31 0:00:00","2020-03-25 0:00:00","2020-03-31 0:00:00","MXN",10706,1353631,7296,0,0,"2003_acer_intelgaming_pi_mkt_fb_2020-03-25",0,0,0,0,0,0,"2020-04-30 10:32:07"
"acer","intelgaming","2003_acer_intelgaming_pi_mkt_sem","2003_acer_intelgaming_pi_mkt_sem_V2","V2","pi","mkt","información correcta, que tenemos en el mp y en las plataformas",2003,"Marzo","intelgaming","Google Search","2020-03-05 0:00:00","2020-03-16 0:00:00","2020-03-23 0:00:00","2020-03-24 0:00:00",9,500,0,"4500.00","4500.00","6475.00","6475.00",0,9,"semana_11","2020-03-17 0:00:00","2020-03-24 0:00:00","2020-03-23 0:00:00","2020-03-24 0:00:00","MXN",950,3247.5,170,0,0,"2003_acer_intelgaming_pi_mkt_sem_2020-03-17",0,0,0,0,0,0,"2020-04-30 10:32:07"
"acer","intelgaming","2003_acer_intelgaming_pi_mkt_sem","2003_acer_intelgaming_pi_mkt_sem_V2","V2","pi","mkt","información correcta, que tenemos en el mp y en las plataformas",2003,"Marzo","intelgaming","Google Search","2020-03-05 0:00:00","2020-03-16 0:00:00","2020-03-23 0:00:00","2020-03-31 0:00:00",0,0,0,0,0,0,0,0,0,"semana_12","2020-03-25 0:00:00","2020-03-31 0:00:00","2020-03-25 0:00:00","2020-03-31 0:00:00","MXN",3173,11242,555.5,0,0,"2003_acer_intelgaming_pi_mkt_sem_2020-03-25",0,0,0,0,0,0,"2020-04-30 10:32:07"
"acer","intelgaming","2003_acer_intelgaming_pi_mkt_sem","2003_acer_intelgaming_pi_mkt_sem_V9","V9","pi","mkt","información correcta, que tenemos en el mp y en las plataformas",2003,"Marzo","intelgaming","Google Search","2020-03-11 0:00:00","2020-03-31 0:00:00","2020-03-23 0:00:00","2020-03-24 0:00:00",9,578,0,"5200.00","5200.00","6475.00","6475.00",0,9,"semana_11","2020-03-17 0:00:00","2020-03-24 0:00:00","2020-03-23 0:00:00","2020-03-24 0:00:00","MXN",950,3247.5,170,0,0,"2003_acer_intelgaming_pi_mkt_sem_2020-03-17",0,0,0,0,0,0,"2020-04-30 10:32:07"
"acer","intelgaming","2003_acer_intelgaming_pi_mkt_sem","2003_acer_intelgaming_pi_mkt_sem_V9","V9","pi","mkt","información correcta, que tenemos en el mp y en las plataformas",2003,"Marzo","intelgaming","Google Search","2020-03-11 0:00:00","2020-03-31 0:00:00","2020-03-23 0:00:00","2020-03-31 0:00:00",0,0,0,0,0,0,0,0,0,"semana_12","2020-03-25 0:00:00","2020-03-31 0:00:00","2020-03-25 0:00:00","2020-03-31 0:00:00","MXN",3173,11242,555.5,0,0,"2003_acer_intelgaming_pi_mkt_sem_2020-03-25",0,0,0,0,0,0,"2020-04-30 10:32:07"
"acer","liverpool","2003_acer_liverpool_pi_mkt_fb","2003_acer_liverpool_pi_mkt_fb_V2","V2","pi","mkt","información correcta, que tenemos en el mp y en las plataformas",2003,"Marzo","liverpool","Facebook","2020-03-13 0:00:00","2020-03-16 0:00:00","2020-03-13 0:00:00","2020-03-16 0:00:00",3.26,3968,0,"12750.00","12750.00","12750.00","12750.00",0,3.26,"semana_10","2020-03-09 0:00:00","2020-03-16 0:00:00","2020-03-13 0:00:00","2020-03-16 0:00:00","MXN",5250,550313,4914,0,0,"2003_acer_liverpool_pi_mkt_fb_2020-03-09",0,0,0,0,0,0,"2020-04-30 10:32:07"
"acer","palacio","2003_acer_palacio_pi_mkt_fb","2003_acer_palacio_pi_mkt_fb_V2","V2","pi","mkt","información correcta, que tenemos en el mp y en las plataformas",2003,"Marzo","palacio","Facebook","2020-03-05 0:00:00","2020-03-15 0:00:00","2020-03-13 0:00:00","2020-03-15 0:00:00",3.26,3968,0,"12750.00","12750.00","12750.00","12750.00",0,3.26,"semana_10","2020-03-09 0:00:00","2020-03-16 0:00:00","2020-03-13 0:00:00","2020-03-15 0:00:00","MXN",5250,471788,3003,0,0,"2003_acer_palacio_pi_mkt_fb_2020-03-09",0,0,0,0,0,0,"2020-04-30 10:32:07"
"gicsa","explanadaculiacan","2003_gicsa_explanadaculiacan_pi_mkt_fb","2003_gicsa_explanadaculiacan_pi_mkt_fb_V1","V1","pi","mkt","información correcta, que tenemos en el mp y en las plataformas",2003,"Marzo","explanadaculiacan","Facebook","2020-03-01 0:00:00","2020-03-31 0:00:00","2020-03-05 0:00:00","2020-03-31 0:00:00",25,1720,0,"43000.00","43000.00","43000.00","43000.00",0,25,"semana_9","2020-03-01 0:00:00","2020-03-08 0:00:00","2020-03-05 0:00:00","2020-03-08 0:00:00","MXN",3283,63983,509,0,0,"2003_gicsa_explanadaculiacan_pi_mkt_fb_2020-03-01",0,0,0,0,0,0,"2020-04-30 10:32:07"
"gicsa","explanadaculiacan","2003_gicsa_explanadaculiacan_pi_mkt_fb","2003_gicsa_explanadaculiacan_pi_mkt_fb_V1","V1","pi","mkt","información correcta, que tenemos en el mp y en las plataformas",2003,"Marzo","explanadaculiacan","Facebook","2020-03-01 0:00:00","2020-03-31 0:00:00","2020-03-05 0:00:00","2020-03-31 0:00:00",0,0,0,0,0,0,0,0,0,"semana_10","2020-03-09 0:00:00","2020-03-16 0:00:00","2020-03-09 0:00:00","2020-03-16 0:00:00","MXN",5319,58209,279,0,0,"2003_gicsa_explanadaculiacan_pi_mkt_fb_2020-03-09",0,0,0,0,0,0,"2020-04-30 10:32:07"
