cliente_nomenclatura,campaña_nomenclatura,llave_ventas,llave_unica_mp,versión,tipo_presupuesto,tipo_2,comentario,Año-Mes,mes_plan,campaña_nomenclatura,plataforma,fecha_inicio_plan,fecha_fin_plan,inicio_campaña,fin_campaña,costo_planeado,kpi_planeado,serving,inversión_plataforma,inversión_total,inversión_AdOps,Operativo_AdOps,Serving_AdOps,costo_operativo,inicio_reporte,fin_reporte,inicio_campaña_reporte,fin_campaña_reporte,divisa,dinero_gastado,impresiones,clics,conversiones,revenue,llave_analytics,conversiones_directas,conversiones_asistidas,revenue_directo,revenue_asistido,total_conversiones,total_revenue,ultima_actualizacion
gicsa,explanadapachuca,2002_gicsa_explanadapachuca_pi_mkt_fb,2002_gicsa_explanadapachuca_pi_mkt_fb_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,explanadapachuca,Facebook,2020-02-01 0:00:00,2020-02-28 0:00:00,2020-01-31 0:00:00,2020-02-02 0:00:00,2.825,36421,0,38700,38700,38700,38700,0,2.825,2020-01-01 0:00:00,2020-01-31 0:00:00,2020-01-31 0:00:00,2020-01-31 0:00:00,MXN,25.48,2340,0,0,0,2002_gicsa_explanadapachuca_pi_mkt_fb_2020-01-01,0,0,0,0,0,0,2020-04-30 10:13:12
gicsa,explanadapachuca,2002_gicsa_explanadapachuca_pi_mkt_fb,2002_gicsa_explanadapachuca_pi_mkt_fb_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,explanadapachuca,Facebook,2020-02-01 0:00:00,2020-02-28 0:00:00,2020-01-31 0:00:00,2020-03-05 0:00:00,0,0,0,0,0,0,0,0,0,2020-02-01 0:00:00,2020-02-29 0:00:00,2020-02-01 0:00:00,2020-02-29 0:00:00,MXN,36643.08,4573329,9512,0,0,2002_gicsa_explanadapachuca_pi_mkt_fb_2020-02-01,0,0,0,0,0,0,2020-04-30 10:13:12
gicsa,explanadapachuca,2002_gicsa_explanadapachuca_pi_mkt_fb,2002_gicsa_explanadapachuca_pi_mkt_fb_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,explanadapachuca,Facebook,2020-02-01 0:00:00,2020-02-28 0:00:00,2020-02-27 0:00:00,2020-03-05 0:00:00,0,0,0,0,0,0,0,0,0,2020-03-01 0:00:00,2020-03-31 0:00:00,2020-03-01 0:00:00,2020-03-05 0:00:00,MXN,749.13,111761,230,0,0,2002_gicsa_explanadapachuca_pi_mkt_fb_2020-03-01,0,0,0,0,0,0,2020-04-30 10:13:12
gicsa,explanadapachuca,2002_gicsa_explanadapachuca_pi_mkt_sem,2002_gicsa_explanadapachuca_pi_mkt_sem_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,explanadapachuca,Google Search,2020-02-01 0:00:00,2020-02-28 0:00:00,2019-09-06 0:00:00,2020-03-31 0:00:00,12,1075,0,12900,12900,12900,12900,0,12,2020-02-01 0:00:00,2020-02-29 0:00:00,2020-02-01 0:00:00,2020-02-29 0:00:00,MXN,13497.6,71368,9276,0,0,2002_gicsa_explanadapachuca_pi_mkt_sem_2020-02-01,0,0,0,0,0,0,2020-04-30 10:13:12
gicsa,explanadapachuca,2003_gicsa_explanadapachuca_pi_mkt_fb,2003_gicsa_explanadapachuca_pi_mkt_fb_V1,V1,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,explanadapachuca,Facebook,2020-03-01 0:00:00,2020-03-31 0:00:00,2020-03-02 0:00:00,2020-04-01 0:00:00,2.825,36421,0,38700,38700,38700,38700,0,2.825,2020-03-01 0:00:00,2020-03-31 0:00:00,2020-03-02 0:00:00,2020-03-31 0:00:00,MXN,35049.18,3924668,2901,0,0,2003_gicsa_explanadapachuca_pi_mkt_fb_2020-03-01,0,0,0,0,0,0,2020-04-30 10:13:12
gicsa,explanadapachuca,2003_gicsa_explanadapachuca_pi_mkt_sem,2003_gicsa_explanadapachuca_pi_mkt_sem_V1,V1,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,explanadapachuca,Google Search,2020-03-01 0:00:00,2020-03-31 0:00:00,2019-09-06 0:00:00,2020-03-31 0:00:00,12,1075,0,12900,12900,12900,12900,0,12,2020-03-01 0:00:00,2020-03-31 0:00:00,2020-03-01 0:00:00,2020-03-31 0:00:00,MXN,8815.52,43748,4984,0,0,2003_gicsa_explanadapachuca_pi_mkt_sem_2020-03-01,0,0,0,0,0,0,2020-04-30 10:13:12
gicsa,explanadapuebla,2001_gicsa_explanadapuebla_pi_mkt_fb,2001_gicsa_explanadapuebla_pi_mkt_fb_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,explanadapuebla,Facebook,2020-01-01 0:00:00,2020-01-31 0:00:00,2020-01-02 0:00:00,2020-02-02 0:00:00,2.95,35167,0,34400,34400,34400,34400,0,2.95,2020-01-01 0:00:00,2020-01-31 0:00:00,2020-01-02 0:00:00,2020-01-31 0:00:00,MXN,34008,8218752,11979,0,0,2001_gicsa_explanadapuebla_pi_mkt_fb_2020-01-01,0,0,0,0,0,0,2020-04-30 10:13:12
gicsa,explanadapuebla,2001_gicsa_explanadapuebla_pi_mkt_fb,2001_gicsa_explanadapuebla_pi_mkt_fb_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,explanadapuebla,Facebook,2020-01-01 0:00:00,2020-01-31 0:00:00,2020-01-28 0:00:00,2020-02-02 0:00:00,0,0,0,0,0,0,0,0,0,2020-02-01 0:00:00,2020-02-29 0:00:00,2020-02-01 0:00:00,2020-02-02 0:00:00,MXN,346.24,32112,17,0,0,2001_gicsa_explanadapuebla_pi_mkt_fb_2020-02-01,0,0,0,0,0,0,2020-04-30 10:13:12
gicsa,explanadapuebla,2001_gicsa_explanadapuebla_pi_mkt_sem,2001_gicsa_explanadapuebla_pi_mkt_sem_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,explanadapuebla,Google Search,2020-01-01 0:00:00,2020-01-31 0:00:00,2019-09-06 0:00:00,2020-03-31 0:00:00,12,716,0,8600,8600,8600,8600,0,12,2020-01-01 0:00:00,2020-01-31 0:00:00,2020-01-01 0:00:00,2020-01-31 0:00:00,MXN,8584,159291,10566,0,0,2001_gicsa_explanadapuebla_pi_mkt_sem_2020-01-01,0,0,0,0,0,0,2020-04-30 10:13:12
gicsa,explanadapuebla,2002_gicsa_explanadapuebla_pi_mkt_fb,2002_gicsa_explanadapuebla_pi_mkt_fb_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,explanadapuebla,Facebook,2020-02-01 0:00:00,2020-02-28 0:00:00,2020-02-01 0:00:00,2020-03-05 0:00:00,2.95,35167,0,34400,34400,34400,34400,0,2.95,2020-02-01 0:00:00,2020-02-29 0:00:00,2020-02-01 0:00:00,2020-02-29 0:00:00,MXN,32634.02,6253429,6264,0,0,2002_gicsa_explanadapuebla_pi_mkt_fb_2020-02-01,0,0,0,0,0,0,2020-04-30 10:13:12
gicsa,explanadapuebla,2002_gicsa_explanadapuebla_pi_mkt_fb,2002_gicsa_explanadapuebla_pi_mkt_fb_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,explanadapuebla,Facebook,2020-02-01 0:00:00,2020-02-28 0:00:00,2020-02-27 0:00:00,2020-03-05 0:00:00,0,0,0,0,0,0,0,0,0,2020-03-01 0:00:00,2020-03-31 0:00:00,2020-03-01 0:00:00,2020-03-05 0:00:00,MXN,798.31,108498,220,0,0,2002_gicsa_explanadapuebla_pi_mkt_fb_2020-03-01,0,0,0,0,0,0,2020-04-30 10:13:12
